City,State,Zip3,County
LAS VEGAS,NV,891,Clark County
ELY,NV,893,White Pine CountyC
RENO,NV,895,Washoe County
ELKO,NV,898,Elko County
LOS ANGELES,CA,900,Los Angeles County
INGLEWOOD,CA,902,Los Angeles County
LONG BEACH,CA,908,Los Angeles County
PASADENA,CA,911,Los Angeles County
SANTA CLARITA,CA,913,Los Angeles County
CITY OF INDUSTRY,CA,917,Los Angeles County
SAN DIEGO,CA,921,San Diego County
SAN BERNARDINO,CA,924,San Bernardino County
SANTA ANA,CA,927,Orange County
ANAHEIM,CA,928,Orange County
OXNARD,CA,930,Ventura County
GOLETA,CA,931,Santa Barbara County
BAKERSFIELD,CA,933,Kern County
MOJAVE,CA,935,Kern County
FRESNO,CA,937,Fresno County
SALINAS,CA,939,Monterey County
SAN FRANCISCO,CA,941,San Francisco County
OAKLAND,CA,946,Alameda County
PETALUMA,CA,949,Sonoma County
SAN JOSE,CA,951,Santa Clara County
STOCKTON,CA,952,San Joaquin County
EUREKA,CA,955,Humboldt County
WEST SACRAMENTO,CA,957,Yolo County
MARYSVILLE,CA,959,Yuba County
REDDING,CA,960,Shasta County
HONOLULU,HI,968,Honolulu County
BARRIGADA,GU,969,
PORTLAND,OR,972,Multnomah County
SALEM,OR,973,Marion County
SPRINGFIELD,OR,974,Lane County
MEDFORD,OR,975,Jackson County
KLAMATH FALLS,OR,976,Klamath County
BEND,OR,977,Deschutes County
PENDLETON,OR,978,Umatilla County
SEATTLE,WA,981,King County
EVERETT,WA,982,Snohomish County
TACOMA,WA,984,Pierce County
TUMWATER,WA,985,Thurston County
WENATCHEE,WA,988,Chelan County
YAKIMA,WA,989,Yakima County
SPOKANE,WA,992,Spokane County
PASCO,WA,993,Franklin County
ANCHORAGE,AK,995,Anchorage Borough/municipality
FAIRBANKS,AK,997,Fairbanks North Star Borough
JUNEAU,AK,998,Juneau Borough/city
KETCHIKAN,AK,999,Ketchikan Gateway Borough
