County,2014
"Autauga County, AL",5.9     
"Baldwin County, AL",6.1     
"Barbour County, AL",10.8     
"Bibb County, AL",7.1     
"Blount County, AL",6.1     
"Bullock County, AL",9.1     
"Butler County, AL",8.6     
"Calhoun County, AL",7.9     
"Chambers County, AL",6.7     
"Cherokee County, AL",5.9     
"Chilton County, AL",6.3     
"Choctaw County, AL",9.1     
"Clarke County, AL",12.5     
"Clay County, AL",7.2     
"Cleburne County, AL",6.7     
"Coffee County, AL",6.7     
"Colbert County, AL",8.2     
"Conecuh County, AL",10.7     
"Coosa County, AL",8.8     
"Covington County, AL",7.8     
"Crenshaw County, AL",7.0     
"Cullman County, AL",6.1     
"Dale County, AL",7.2     
"Dallas County, AL",11.6     
"DeKalb County, AL",6.9     
"Elmore County, AL",5.8     
"Escambia County, AL",8.2     
"Etowah County, AL",7.0     
"Fayette County, AL",7.9     
"Franklin County, AL",7.8     
"Geneva County, AL",6.7     
"Greene County, AL",12.6     
"Hale County, AL",9.8     
"Henry County, AL",7.4     
"Houston County, AL",6.8     
"Jackson County, AL",7.2     
"Jefferson County, AL",6.3     
"Lamar County, AL",7.1     
"Lauderdale County, AL",7.2     
"Lawrence County, AL",8.2     
"Lee County, AL",5.6     
"Limestone County, AL",6.1     
"Lowndes County, AL",12.9     
"Macon County, AL",9.1     
"Madison County, AL",6.2     
"Marengo County, AL",8.0     
"Marion County, AL",8.1     
"Marshall County, AL",6.7     
"Mobile County, AL",7.7     
"Monroe County, AL",11.3     
"Montgomery County, AL",6.9     
"Morgan County, AL",6.6     
"Perry County, AL",12.4     
"Pickens County, AL",8.2     
"Pike County, AL",7.3     
"Randolph County, AL",6.9     
"Russell County, AL",6.6     
"St. Clair County, AL",5.8     
"Shelby County, AL",4.5     
"Sumter County, AL",8.9     
"Talladega County, AL",7.7     
"Tallapoosa County, AL",7.7     
"Tuscaloosa County, AL",6.0     
"Walker County, AL",7.7     
"Washington County, AL",9.9     
"Wilcox County, AL",17.4     
"Winston County, AL",8.8     
"Aleutians East Borough, AK",4.6     
"Aleutians West Census Area, AK",4.9     
"Anchorage Borough/municipality, AK",5.1     
"Bethel Census Area, AK",16.0     
"Bristol Bay Borough, AK",8.0     
"Denali Borough, AK",10.1     
"Dillingham Census Area, AK",9.9     
"Fairbanks North Star Borough, AK",5.7     
"Haines Borough, AK",10.5     
"Hoonah-Angoon Census Area, AK",15.1     
"Juneau Borough/city, AK",5.1     
"Kenai Peninsula Borough, AK",7.8     
"Ketchikan Gateway Borough, AK",7.6     
"Kodiak Island Borough, AK",5.7     
"Lake and Peninsula Borough, AK",15.4     
"Matanuska-Susitna Borough, AK",8.0     
"Nome Census Area, AK",12.1     
"North Slope Borough, AK",5.8     
"Northwest Arctic Borough, AK",16.7     
"Petersburg Census Area, AK",9.8     
"Prince of Wales-Hyder Census Area, AK",13.3     
"Sitka Borough/city, AK",5.1     
"Skagway Municipality, AK",11.8     
"Southeast Fairbanks Census Area, AK",13.0     
"Valdez-Cordova Census Area, AK",9.5     
"Wade Hampton Census Area, AK",23.7     
"Wrangell Borough/city, AK",8.7     
"Yakutat Borough/city, AK",9.7     
"Yukon-Koyukuk Census Area, AK",18.7     
"Apache County, AZ",16.0     
"Cochise County, AZ",8.4     
"Coconino County, AZ",7.2     
"Gila County, AZ",8.4     
"Graham County, AZ",7.6     
"Greenlee County, AZ",6.5     
"La Paz County, AZ",8.0     
"Maricopa County, AZ",5.9     
"Mohave County, AZ",8.8     
"Navajo County, AZ",11.3     
"Pima County, AZ",6.2     
"Pinal County, AZ",7.2     
"Santa Cruz County, AZ",13.2     
"Yavapai County, AZ",6.3     
"Yuma County, AZ",23.3     
"Arkansas County, AR",5.4     
"Ashley County, AR",9.4     
"Baxter County, AR",6.8     
"Benton County, AR",4.6     
"Boone County, AR",6.1     
"Bradley County, AR",8.5     
"Calhoun County, AR",6.8     
"Carroll County, AR",5.3     
"Chicot County, AR",10.6     
"Clark County, AR",7.0     
"Clay County, AR",8.1     
"Cleburne County, AR",8.3     
"Cleveland County, AR",7.0     
"Columbia County, AR",7.3     
"Conway County, AR",7.1     
"Craighead County, AR",5.5     
"Crawford County, AR",6.1     
"Crittenden County, AR",7.3     
"Cross County, AR",6.6     
"Dallas County, AR",9.5     
"Desha County, AR",8.3     
"Drew County, AR",8.6     
"Faulkner County, AR",5.7     
"Franklin County, AR",5.8     
"Fulton County, AR",6.0     
"Garland County, AR",6.4     
"Grant County, AR",5.6     
"Greene County, AR",6.5     
"Hempstead County, AR",6.1     
"Hot Spring County, AR",5.9     
"Howard County, AR",5.9     
"Independence County, AR",8.0     
"Izard County, AR",7.6     
"Jackson County, AR",9.4     
"Jefferson County, AR",8.9     
"Johnson County, AR",6.6     
"Lafayette County, AR",8.0     
"Lawrence County, AR",7.4     
"Lee County, AR",7.9     
"Lincoln County, AR",7.3     
"Little River County, AR",6.6     
"Logan County, AR",6.1     
"Lonoke County, AR",5.2     
"Madison County, AR",4.9     
"Marion County, AR",6.5     
"Miller County, AR",6.0     
"Mississippi County, AR",9.3     
"Monroe County, AR",6.8     
"Montgomery County, AR",8.1     
"Nevada County, AR",6.1     
"Newton County, AR",6.0     
"Ouachita County, AR",8.1     
"Perry County, AR",7.7     
"Phillips County, AR",9.6     
"Pike County, AR",7.5     
"Poinsett County, AR",6.9     
"Polk County, AR",6.4     
"Pope County, AR",6.4     
"Prairie County, AR",5.9     
"Pulaski County, AR",5.6     
"Randolph County, AR",8.1     
"St. Francis County, AR",8.9     
"Saline County, AR",4.9     
"Scott County, AR",5.2     
"Searcy County, AR",6.5     
"Sebastian County, AR",5.8     
"Sevier County, AR",7.0     
"Sharp County, AR",8.7     
"Stone County, AR",8.0     
"Union County, AR",7.6     
"Van Buren County, AR",8.2     
"Washington County, AR",4.4     
"White County, AR",7.2     
"Woodruff County, AR",7.8     
"Yell County, AR",5.6     
"Alameda County, CA",5.9     
"Alpine County, CA",8.8     
"Amador County, CA",8.3     
"Butte County, CA",8.7     
"Calaveras County, CA",8.1     
"Colusa County, CA",17.5     
"Contra Costa County, CA",6.2     
"Del Norte County, CA",10.2     
"El Dorado County, CA",7.0     
"Fresno County, CA",11.6     
"Glenn County, CA",10.7     
"Humboldt County, CA",6.8     
"Imperial County, CA",23.6     
"Inyo County, CA",7.0     
"Kern County, CA",10.4     
"Kings County, CA",12.1     
"Lake County, CA",8.9     
"Lassen County, CA",9.3     
"Los Angeles County, CA",8.3     
"Madera County, CA",11.0     
"Marin County, CA",4.3     
"Mariposa County, CA",8.8     
"Mendocino County, CA",6.9     
"Merced County, CA",12.8     
"Modoc County, CA",10.5     
"Mono County, CA",7.2     
"Monterey County, CA",9.1     
"Napa County, CA",5.6     
"Nevada County, CA",6.6     
"Orange County, CA",5.5     
"Placer County, CA",6.3     
"Plumas County, CA",11.7     
"Riverside County, CA",8.2     
"Sacramento County, CA",7.3     
"San Benito County, CA",9.3     
"San Bernardino County, CA",8.1     
"San Diego County, CA",6.4     
"San Francisco County/city, CA",4.4     
"San Joaquin County, CA",10.6     
"San Luis Obispo County, CA",5.6     
"San Mateo County, CA",4.2     
"Santa Barbara County, CA",6.1     
"Santa Clara County, CA",5.2     
"Santa Cruz County, CA",8.7     
"Shasta County, CA",9.7     
"Sierra County, CA",10.0     
"Siskiyou County, CA",11.3     
"Solano County, CA",7.5     
"Sonoma County, CA",5.6     
"Stanislaus County, CA",11.2     
"Sutter County, CA",12.7     
"Tehama County, CA",9.7     
"Trinity County, CA",9.9     
"Tulare County, CA",13.2     
"Tuolumne County, CA",8.7     
"Ventura County, CA",6.7     
"Yolo County, CA",7.7     
"Yuba County, CA",11.2     
"Adams County, CO",5.7     
"Alamosa County, CO",7.1     
"Arapahoe County, CO",4.9     
"Archuleta County, CO",6.0     
"Baca County, CO",2.8     
"Bent County, CO",5.3     
"Boulder County, CO",4.1     
"Broomfield County/city, CO",4.3     
"Chaffee County, CO",4.4     
"Cheyenne County, CO",2.9     
"Clear Creek County, CO",4.7     
"Conejos County, CO",7.8     
"Costilla County, CO",9.1     
"Crowley County, CO",6.1     
"Custer County, CO",4.7     
"Delta County, CO",6.9     
"Denver County/city, CO",4.9     
"Dolores County, CO",4.0     
"Douglas County, CO",4.0     
"Eagle County, CO",4.2     
"Elbert County, CO",4.3     
"El Paso County, CO",6.0     
"Fremont County, CO",8.1     
"Garfield County, CO",5.2     
"Gilpin County, CO",4.4     
"Grand County, CO",4.1     
"Gunnison County, CO",4.1     
"Hinsdale County, CO",3.8     
"Huerfano County, CO",10.1     
"Jackson County, CO",3.5     
"Jefferson County, CO",4.6     
"Kiowa County, CO",3.4     
"Kit Carson County, CO",3.1     
"Lake County, CO",4.8     
"La Plata County, CO",4.2     
"Larimer County, CO",4.3     
"Las Animas County, CO",7.6     
"Lincoln County, CO",4.1     
"Logan County, CO",3.8     
"Mesa County, CO",6.2     
"Mineral County, CO",5.2     
"Moffat County, CO",5.7     
"Montezuma County, CO",6.1     
"Montrose County, CO",6.8     
"Morgan County, CO",4.6     
"Otero County, CO",7.6     
"Ouray County, CO",5.5     
"Park County, CO",4.6     
"Phillips County, CO",3.3     
"Pitkin County, CO",4.9     
"Prowers County, CO",4.8     
"Pueblo County, CO",7.3     
"Rio Blanco County, CO",5.8     
"Rio Grande County, CO",9.0     
"Routt County, CO",4.2     
"Saguache County, CO",8.6     
"San Juan County, CO",5.3     
"San Miguel County, CO",4.7     
"Sedgwick County, CO",4.6     
"Summit County, CO",3.4     
"Teller County, CO",5.9     
"Washington County, CO",3.2     
"Weld County, CO",4.5     
"Yuma County, CO",3.3     
"Fairfield County, CT",6.2     
"Hartford County, CT",6.9     
"Litchfield County, CT",5.9     
"Middlesex County, CT",5.6     
"New Haven County, CT",7.2     
"New London County, CT",6.7     
"Tolland County, CT",5.6     
"Windham County, CT",7.3     
"Kent County, DE",6.4     
"New Castle County, DE",5.5     
"Sussex County, DE",5.7     
District of Columbia,7.8     
"Alachua County, FL",5.2     
"Baker County, FL",6.3     
"Bay County, FL",6.3     
"Bradford County, FL",5.6     
"Brevard County, FL",6.9     
"Broward County, FL",5.8     
"Calhoun County, FL",6.9     
"Charlotte County, FL",6.7     
"Citrus County, FL",8.5     
"Clay County, FL",5.7     
"Collier County, FL",5.9     
"Columbia County, FL",6.5     
"DeSoto County, FL",7.1     
"Dixie County, FL",7.5     
"Duval County, FL",6.7     
"Escambia County, FL",6.3     
"Flagler County, FL",7.5     
"Franklin County, FL",5.5     
"Gadsden County, FL",8.0     
"Gilchrist County, FL",6.5     
"Glades County, FL",7.2     
"Gulf County, FL",6.0     
"Hamilton County, FL",7.8     
"Hardee County, FL",7.7     
"Hendry County, FL",10.6     
"Hernando County, FL",7.9     
"Highlands County, FL",8.2     
"Hillsborough County, FL",5.8     
"Holmes County, FL",6.8     
"Indian River County, FL",7.8     
