County,2006
"Autauga County, AL",3.3     
"Baldwin County, AL",3.2     
"Barbour County, AL",5.7     
"Bibb County, AL",4.2     
"Blount County, AL",3.2     
"Bullock County, AL",8.9     
"Butler County, AL",5.7     
"Calhoun County, AL",4.1     
"Chambers County, AL",5.8     
"Cherokee County, AL",4.2     
"Chilton County, AL",3.6     
"Choctaw County, AL",5.6     
"Clarke County, AL",6.2     
"Clay County, AL",4.5     
"Cleburne County, AL",3.5     
"Coffee County, AL",3.7     
"Colbert County, AL",4.7     
"Conecuh County, AL",5.7     
"Coosa County, AL",5.6     
"Covington County, AL",3.9     
"Crenshaw County, AL",4.0     
"Cullman County, AL",3.4     
"Dale County, AL",4.7     
"Dallas County, AL",8.2     
"DeKalb County, AL",4.2     
"Elmore County, AL",3.4     
"Escambia County, AL",5.0     
"Etowah County, AL",4.2     
"Fayette County, AL",4.2     
"Franklin County, AL",4.6     
"Geneva County, AL",3.8     
"Greene County, AL",5.6     
"Hale County, AL",5.3     
"Henry County, AL",4.0     
"Houston County, AL",3.4     
"Jackson County, AL",4.5     
"Jefferson County, AL",4.0     
"Lamar County, AL",5.2     
"Lauderdale County, AL",4.2     
"Lawrence County, AL",4.8     
"Lee County, AL",3.4     
"Limestone County, AL",3.7     
"Lowndes County, AL",7.6     
"Macon County, AL",5.3     
"Madison County, AL",3.3     
"Marengo County, AL",4.6     
"Marion County, AL",4.4     
"Marshall County, AL",3.5     
"Mobile County, AL",4.2     
"Monroe County, AL",6.0     
"Montgomery County, AL",4.2     
"Morgan County, AL",4.0     
"Perry County, AL",8.4     
"Pickens County, AL",5.1     
"Pike County, AL",4.0     
"Randolph County, AL",5.3     
"Russell County, AL",5.9     
"St. Clair County, AL",3.5     
"Shelby County, AL",2.7     
"Sumter County, AL",6.8     
"Talladega County, AL",5.2     
"Tallapoosa County, AL",5.1     
"Tuscaloosa County, AL",3.3     
"Walker County, AL",4.6     
"Washington County, AL",5.8     
"Wilcox County, AL",8.7     
"Winston County, AL",4.9     
"Aleutians East Borough, AK",8.5     
"Aleutians West Census Area, AK",5.7     
"Anchorage Borough/municipality, AK",5.3     
